ID,Age,Gender,Height,Weight,BMI,Label
76,40.00,Female,140.00,50.00,20.00,Underweight
77,45.00,Male,200.00,75.00,24.20,Normal Weight
78,50.00,Female,130.00,60.00,22.50,Normal Weight
79,55.00,Male,210.00,85.00,26.10,Overweight
80,60.00,Female,120.00,70.00,23.40,Normal Weight
81,14.00,Male,175.00,35.00,16.70,Underweight
82,19.00,Female,160.00,25.00,10.00,Underweight
83,24.00,Male,180.00,45.00,18.70,Underweight
84,29.00,Female,150.00,30.00,13.30,Underweight
85,34.00,Male,190.00,55.00,21.20,Normal Weight
86,13.00,Male,175.00,25.00,10.00,Underweight
87,18.00,Female,160.00,20.00,8.30,Underweight
88,23.00,Male,180.00,30.00,13.30,Underweight
89,28.00,Female,150.00,25.00,10.00,Underweight
90,33.00,Male,190.00,40.00,16.70,Underweight
91,38.00,Female,140.00,35.00,16.70,Underweight
92,43.00,Male,200.00,50.00,20.00,Underweight
93,48.00,Female,130.00,40.00,16.70,Underweight
94,53.00,Male,210.00,55.00,21.20,Normal Weight
95,58.00,Female,120.00,35.00,16.70,Underweight
96,12.00,Male,175.00,15.00,5.60,Underweight
97,17.00,Female,160.00,15.00,5.60,Underweight
98,22.00,Male,180.00,20.00,8.30,Underweight
99,27.00,Female,150.00,20.00,8.30,Underweight
100,32.00,Male,190.00,25.00,10.00,Underweight
101,37.00,Female,140.00,25.00,10.00,Underweight
102,42.00,Male,200.00,30.00,13.30,Underweight
103,47.00,Female,130.00,30.00,13.30,Underweight
104,52.00,Male,210.00,35.00,16.70,Underweight
105,57.00,Female,120.00,25.00,10.00,Underweight
106,11.00,Male,175.00,10.00,3.90,Underweight
107,16.00,Female,160.00,10.00,3.90,Underweight
108,21.00,Male,180.00,15.00,5.60,Underweight
109,26.00,Female,150.00,15.00,5.60,Underweight
110,31.00,Male,190.00,20.00,8.30,Underweight
